#  Angle     X        Y        Z
  30.753   41.000  141.000   56.000
  34.789   27.000  249.000   20.000
  31.702  156.000  269.000  129.000
  33.318  234.000  177.000   39.000
  31.558   46.000  211.000  212.000
  29.038  277.000  273.000   49.000
  40.400   20.000  185.000   21.000
  31.387  193.000   29.000   24.000
  30.425  213.000   72.000   52.000
  30.211  204.000  260.000  239.000
  31.401  245.000  137.000  274.000
  33.145   73.000  136.000   89.000
  32.627  109.000  170.000  101.000
  32.917   19.000  198.000   69.000
  32.400  165.000  219.000   80.000
  26.985   75.000  144.000   17.000
  34.663   17.000   85.000  106.000
  35.125  212.000  271.000  162.000
  32.792  152.000  196.000  145.000
  32.546   43.000  191.000   44.000
  31.520  255.000   21.000   57.000
  34.136   72.000   53.000  275.000
  33.077  120.000  242.000  214.000
  33.881  152.000   11.000   68.000
  33.164   42.000  192.000   11.000
  37.041   45.000   93.000  164.000
  26.130   21.000   92.000   17.000
  31.672  206.000  251.000  147.000
  37.455  184.000  279.000   36.000
  31.314  177.000  250.000  157.000
  31.102   85.000   73.000  152.000
  35.643   32.000  104.000   49.000
  36.182  103.000   44.000  253.000
  31.474  288.000  195.000  270.000
  33.689  213.000  160.000   20.000
  34.273  180.000   88.000  157.000
  34.181  232.000  122.000   65.000
  33.022  185.000  208.000  179.000
  29.813  121.000  237.000  218.000
  33.014  144.000  226.000   63.000
  32.959  148.000   42.000   15.000
  33.148  264.000  181.000  133.000
  34.623  124.000   15.000  234.000
  32.123   90.000   42.000  160.000
  30.587  238.000  135.000  287.000
  33.236   43.000  219.000  124.000
  32.455  207.000   91.000   79.000
  32.448  261.000   27.000   33.000
  31.348  192.000   32.000   24.000
  31.610   36.000  212.000  165.000
  32.885  203.000  119.000   67.000
  33.670  205.000  114.000   59.000
  32.636   30.000  139.000  237.000
  30.124  282.000  253.000  148.000
  37.276  155.000  176.000  259.000
  32.389  192.000  287.000  174.000
  36.589   35.000   86.000  253.000
  44.812  280.000   63.000  277.000
  37.103  228.000  251.000   55.000
  34.256   85.000  185.000  278.000
  31.843  231.000   54.000  102.000
  33.169  283.000  200.000  258.000
  29.935  280.000  242.000  108.000
  34.567  233.000   18.000  163.000
  32.896  234.000  193.000  187.000
  31.566  281.000  249.000   35.000
  32.166  170.000   18.000  233.000
  31.755   55.000  130.000  136.000
  35.320  209.000  195.000  266.000
  32.644  194.000  104.000   96.000
  31.982  279.000  188.000  187.000
  31.884  108.000  178.000  277.000
  32.558  161.000  253.000  114.000
  33.296  236.000   73.000   66.000
  30.386   70.000   74.000   57.000
  32.066  236.000   11.000  173.000
  31.621   50.000   19.000   86.000
  38.081  141.000  179.000  232.000
  33.692  177.000   88.000  146.000
  32.568  151.000    9.000  215.000
  37.992  276.000  275.000  175.000
  33.557  186.000  286.000  116.000
  32.583   34.000  118.000   66.000
  37.220  135.000  220.000  236.000
  33.195  136.000  276.000   64.000
  33.002   32.000  134.000  238.000
  36.967   44.000  191.000   44.000
  33.698  119.000  256.000  100.000
  35.950   31.000   89.000   39.000
  32.759   72.000   35.000   42.000
  33.158  210.000  240.000   92.000
  31.391  124.000  246.000  272.000
  36.107  250.000   52.000  242.000
  36.973   46.000   72.000  174.000
  32.539  284.000   40.000   77.000
  30.452   70.000  134.000  259.000
  32.509   86.000  137.000   73.000
  34.264  108.000  266.000   20.000
  33.102  169.000   38.000  121.000
  42.606  217.000  269.000  290.000
  32.687  109.000  136.000   83.000
  36.660  271.000   65.000   59.000
  37.488  172.000  126.000  145.000
  33.446  120.000  109.000   76.000
  32.361  255.000   32.000   35.000
  33.325   17.000  210.000  175.000
  32.933  183.000   28.000  240.000
